country,url
england,http://www.football-data.co.uk/englandm.php
scotland,http://www.football-data.co.uk/scotlandm.php
germany,http://www.football-data.co.uk/germanym.php
italy,http://www.football-data.co.uk/italym.php
spain,http://www.football-data.co.uk/spainm.php
france,http://www.football-data.co.uk/francem.php
netherlands,http://www.football-data.co.uk/netherlandsm.php
belgium,http://www.football-data.co.uk/belgiumm.php
portugal,http://www.football-data.co.uk/portugalm.php
turkey,http://www.football-data.co.uk/turkeym.php
greece,http://www.football-data.co.uk/greecem.php
