Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx.2.5,BbAv.2.5,BbMx.2.5.1,BbAv.2.5.1,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
F2,28/07/17,Brest,Chateauroux,2,3,A,1,0,H,2,3.1,4.2,1.95,3.1,4.1,2,3.1,3.6,1.91,3.1,4,2.01,3.07,4.92,1.85,3.2,4.2,1.95,3.13,4.5,41,2.04,1.95,3.22,3.09,5.02,4.2,33,2.35,2.21,1.68,1.62,20,-0.5,1.99,1.94,1.96,1.9,1.91,3.27,5.13
F2,28/07/17,Nimes,Reims,0,1,A,0,0,D,2.2,3,3.6,2.05,3.2,3.6,2.2,3.1,3.2,2.2,3.1,3.2,2.33,3.05,3.73,2.1,3.2,3.3,2.25,3.1,3.5,41,2.34,2.21,3.2,3.05,3.8,3.39,37,2.22,2.11,1.78,1.7,20,-0.25,1.97,1.91,1.98,1.93,2.34,3.12,3.62
F2,28/07/17,Niort,Ajaccio,0,0,D,0,0,D,2.15,3.2,3.5,2.15,3.1,3.4,2.1,3.1,3.4,2.15,3.1,3.3,2.28,3.16,3.68,2.15,3.1,3.3,2.25,3.13,3.5,41,2.3,2.19,3.2,3.07,3.68,3.37,38,2.23,2.12,1.76,1.69,20,-0.25,1.95,1.9,1.98,1.94,2.4,3.17,3.41
F2,28/07/17,Orleans,Nancy,3,1,H,1,1,D,3,2.9,2.6,3,2.85,2.5,2.8,3,2.5,2.9,2.9,2.5,3.24,2.84,2.75,2.9,2.9,2.5,3.1,2.88,2.63,41,3.24,2.97,3,2.85,2.75,2.55,32,2.76,2.55,1.53,1.48,19,0,2.18,2.09,1.81,1.77,3.29,2.86,2.69
F2,28/07/17,Paris FC,Clermont,0,0,D,0,0,D,2.75,3.1,2.63,2.75,3.1,2.55,2.9,3,2.4,2.7,2.9,2.65,3.02,3.01,2.76,2.7,3,2.6,2.8,3,2.75,39,3.02,2.81,3.1,2.95,2.79,2.61,31,2.57,2.39,1.6,1.54,19,0,2.05,2,1.94,1.85,3.02,3,2.77
F2,28/07/17,Sochaux,Bourg Peronnas,2,0,H,1,0,H,2,3.2,4,1.91,3.1,4.2,1.9,3.2,3.9,2,3.1,3.7,2.11,3.16,4.26,2,3.2,3.6,1.91,3.25,4.33,39,2.09,2.01,3.25,3.11,4.5,3.92,32,2.39,2.21,1.67,1.62,16,-0.5,2.09,2.03,1.86,1.82,1.99,3.22,4.7
F2,28/07/17,Tours,Le Havre,0,3,A,0,1,A,2.55,3,2.9,2.4,3,3,2.4,3,2.9,2.6,3,2.7,2.79,2.99,3.01,2.45,3,2.88,2.7,3,2.88,41,2.83,2.57,3.1,2.97,3.01,2.84,32,2.37,2.22,1.67,1.61,20,0,1.89,1.84,2.05,2,2.81,3.06,2.92
F2,28/07/17,Valenciennes,Ajaccio GFCO,1,1,D,0,1,A,2.7,2.9,2.9,2.45,3,2.95,2.4,3,2.9,2.62,3,2.7,2.88,2.96,2.94,2.5,3,2.8,2.75,3,2.8,40,2.97,2.63,3.1,2.92,3.1,2.82,31,2.37,2.24,1.67,1.61,19,0,1.94,1.89,2.01,1.95,2.84,2.96,2.99
F2,29/07/17,Lorient,Quevilly Rouen,1,1,D,0,1,A,1.7,3.5,5.25,1.72,3.4,5,1.7,3.5,4.5,1.7,3.5,4.75,1.75,3.6,5.71,1.73,3.5,4.4,1.7,3.5,5.4,40,1.75,1.71,3.6,3.42,5.75,4.95,37,2.06,1.99,1.89,1.77,17,-0.75,2,1.95,1.94,1.88,1.63,3.91,6.41
F2,31/07/17,Auxerre,Lens,1,0,H,0,0,D,2.9,3,2.6,2.8,2.95,2.6,2.7,3,2.6,2.8,3,2.55,3.06,2.93,2.8,2.8,3,2.5,2.9,3,2.63,35,3.06,2.84,3,2.92,2.8,2.6,24,2.44,2.3,1.6,1.57,17,0,2.06,2,1.87,1.83,2.45,3.06,3.45
