Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx.2.5,BbAv.2.5,BbMx.2.5.1,BbAv.2.5.1,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SC3,05/08/17,Annan Athletic,Peterhead,1,2,A,1,0,H,3.4,3.75,2,3.1,3.75,1.91,3.15,3.55,1.95,3.1,3.4,2.05,3.5,3.81,2.08,3.3,3.5,2.1,3.4,3.75,2.05,37,3.5,3.17,3.9,3.56,2.1,2.01,32,1.6,1.57,2.4,2.29,14,0.5,1.83,1.79,2.08,2.01,4.23,3.89,1.86
SC3,05/08/17,Berwick,Clyde,3,1,H,1,1,D,3,3.4,2.3,2.75,3.7,2.1,2.75,3.35,2.25,2.8,3.3,2.3,3.08,3.55,2.36,2.8,3.6,2.38,2.9,3.5,2.38,37,3.08,2.8,3.85,3.4,2.38,2.26,32,1.83,1.73,2.1,2.03,15,0.25,1.87,1.81,2.05,2,3.03,3.64,2.35
SC3,05/08/17,Edinburgh City,Montrose,1,3,A,0,2,A,2.5,3.3,2.8,2.3,3.5,2.6,2.4,3.2,2.6,2.5,3.1,2.6,2.61,3.65,2.7,2.5,3.3,2.8,2.5,3.4,2.8,36,2.64,2.46,3.65,3.3,2.8,2.61,35,2.04,1.93,1.88,1.81,13,-0.25,2.27,2.13,1.75,1.7,2.19,3.67,3.32
SC3,05/08/17,Elgin,Cowdenbeath,1,1,D,1,1,D,1.95,3.6,3.6,2,3.75,2.95,1.9,3.5,3.35,1.91,3.4,3.4,1.97,3.78,3.87,2,3.6,3.5,2,3.7,3.6,36,2,1.94,3.85,3.54,3.87,3.4,32,1.7,1.64,2.21,2.15,13,-0.5,2,1.95,1.93,1.86,1.98,3.71,3.93
SC3,05/08/17,Stenhousemuir,Stirling,2,3,A,2,1,H,1.85,3.8,3.8,1.78,3.6,3.7,1.8,3.55,3.55,1.83,3.5,3.7,1.97,3.98,3.69,2,3.75,3.4,1.87,3.9,3.9,37,2,1.85,4,3.65,3.9,3.59,32,1.67,1.62,2.3,2.19,12,-0.5,1.95,1.85,2.01,1.95,2.22,3.76,3.19
SC3,12/08/17,Clyde,Annan Athletic,2,1,H,1,0,H,2,3.5,3.6,2,3.4,3.2,1.95,3.45,3.25,2,3.4,3.2,2.07,3.78,3.55,2,3.6,3.5,2.05,3.7,3.4,39,2.07,2,3.78,3.48,3.6,3.26,33,1.61,1.57,2.38,2.28,14,-0.25,1.81,1.77,2.11,2.04,2.11,3.81,3.4
SC3,12/08/17,Cowdenbeath,Edinburgh City,1,0,H,1,0,H,2.2,3.5,3.1,2.3,3.1,2.85,2.25,3.2,2.8,2.3,3.1,2.87,2.49,3.48,2.93,2.4,3.3,2.9,2.38,3.4,3,39,2.49,2.33,3.5,3.26,3.1,2.8,37,2.06,1.97,1.83,1.77,16,-0.25,2.08,2.01,1.84,1.8,2.13,3.6,3.53
SC3,12/08/17,Montrose,Stenhousemuir,1,1,D,0,0,D,2.38,3.6,2.75,2.35,3.25,2.65,2.35,3.25,2.7,2.37,3.2,2.7,2.49,3.45,2.95,2.4,3.5,2.8,2.45,3.5,2.8,39,2.49,2.38,3.6,3.27,2.95,2.73,34,1.88,1.8,2,1.93,15,0,1.81,1.78,2.12,2.03,2.47,3.52,2.93
SC3,12/08/17,Peterhead,Elgin,3,0,H,2,0,H,1.44,4.2,7.5,1.45,4,5.75,1.45,4.15,5.75,1.44,4,6,1.46,4.63,7.73,1.53,4.2,6,1.5,4.3,6.5,39,1.53,1.45,4.63,4.19,7.73,6.04,33,1.69,1.6,2.3,2.22,14,-1,1.85,1.76,2.15,2.05,1.55,4.43,6.34
SC3,12/08/17,Stirling,Berwick,4,0,H,2,0,H,1.75,3.75,4.5,1.72,3.4,4.33,1.7,3.6,4,1.7,3.6,4.2,1.74,3.99,4.9,1.73,3.8,4.5,1.8,3.8,3.9,37,1.8,1.73,3.99,3.66,4.9,4.17,32,1.7,1.65,2.21,2.13,12,-0.5,1.77,1.74,2.2,2.07,1.76,4,4.73
