league_code,season_code,Div,Date,HomeTeam,AwayTeam,FTR
E0,1819,E0,2018-08-10,Man United,Leicester,H
E0,1819,E0,2018-08-11,Bournemouth,Cardiff,H
E0,1819,E0,2018-08-11,Fulham,Crystal Palace,A
E0,1819,E0,2018-08-11,Huddersfield,Chelsea,A
E0,1819,E0,2018-08-11,Newcastle,Tottenham,A
E0,1819,E0,2018-08-11,Watford,Brighton,H
E0,1819,E0,2018-08-11,Wolves,Everton,D
E0,1819,E0,2018-08-12,Arsenal,Man City,A
E0,1819,E0,2018-08-12,Liverpool,West Ham,H
E0,1819,E0,2018-08-12,Southampton,Burnley,D
E0,1819,E0,2018-08-18,Cardiff,Newcastle,D
E0,1819,E0,2018-08-18,Chelsea,Arsenal,H
E0,1819,E0,2018-08-18,Everton,Southampton,H
E0,1819,E0,2018-08-18,Leicester,Wolves,H
E0,1819,E0,2018-08-18,Tottenham,Fulham,H
E0,1819,E0,2018-08-18,West Ham,Bournemouth,A
E0,1819,E0,2018-08-19,Brighton,Man United,H
E0,1819,E0,2018-08-19,Burnley,Watford,A
E0,1819,E0,2018-08-19,Man City,Huddersfield,H
E0,1819,E0,2018-08-20,Crystal Palace,Liverpool,A
E0,1819,E0,2018-08-25,Arsenal,West Ham,H
E0,1819,E0,2018-08-25,Bournemouth,Everton,D
E0,1819,E0,2018-08-25,Huddersfield,Cardiff,D
E0,1819,E0,2018-08-25,Liverpool,Brighton,H
E0,1819,E0,2018-08-25,Southampton,Leicester,A
E0,1819,E0,2018-08-25,Wolves,Man City,D
E0,1819,E0,2018-08-26,Fulham,Burnley,H
E0,1819,E0,2018-08-26,Newcastle,Chelsea,A
E0,1819,E0,2018-08-26,Watford,Crystal Palace,H
E0,1819,E0,2018-08-27,Man United,Tottenham,A
E0,1819,E0,2018-09-01,Brighton,Fulham,D
E0,1819,E0,2018-09-01,Chelsea,Bournemouth,H
E0,1819,E0,2018-09-01,Crystal Palace,Southampton,A
E0,1819,E0,2018-09-01,Everton,Huddersfield,D
E0,1819,E0,2018-09-01,Leicester,Liverpool,A
E0,1819,E0,2018-09-01,Man City,Newcastle,H
E0,1819,E0,2018-09-01,West Ham,Wolves,A
E0,1819,E0,2018-09-02,Burnley,Man United,A
E0,1819,E0,2018-09-02,Cardiff,Arsenal,A
E0,1819,E0,2018-09-02,Watford,Tottenham,H
E0,1819,E0,2018-09-15,Bournemouth,Leicester,H
E0,1819,E0,2018-09-15,Chelsea,Cardiff,H
E0,1819,E0,2018-09-15,Huddersfield,Crystal Palace,A
E0,1819,E0,2018-09-15,Man City,Fulham,H
E0,1819,E0,2018-09-15,Newcastle,Arsenal,A
E0,1819,E0,2018-09-15,Tottenham,Liverpool,A
E0,1819,E0,2018-09-15,Watford,Man United,A
E0,1819,E0,2018-09-16,Everton,West Ham,A
E0,1819,E0,2018-09-16,Wolves,Burnley,H
E0,1819,E0,2018-09-17,Southampton,Brighton,D
E0,1819,E0,2018-09-22,Brighton,Tottenham,A
E0,1819,E0,2018-09-22,Burnley,Bournemouth,H
E0,1819,E0,2018-09-22,Cardiff,Man City,A
E0,1819,E0,2018-09-22,Crystal Palace,Newcastle,D
E0,1819,E0,2018-09-22,Fulham,Watford,D
E0,1819,E0,2018-09-22,Leicester,Huddersfield,H
E0,1819,E0,2018-09-22,Liverpool,Southampton,H
E0,1819,E0,2018-09-22,Man United,Wolves,D
E0,1819,E0,2018-09-23,Arsenal,Everton,H
E0,1819,E0,2018-09-23,West Ham,Chelsea,D
E0,1819,E0,2018-09-29,Arsenal,Watford,H
E0,1819,E0,2018-09-29,Chelsea,Liverpool,D
E0,1819,E0,2018-09-29,Everton,Fulham,H
E0,1819,E0,2018-09-29,Huddersfield,Tottenham,A
E0,1819,E0,2018-09-29,Man City,Brighton,H
E0,1819,E0,2018-09-29,Newcastle,Leicester,A
E0,1819,E0,2018-09-29,West Ham,Man United,H
E0,1819,E0,2018-09-29,Wolves,Southampton,H
E0,1819,E0,2018-09-30,Cardiff,Burnley,A
E0,1819,E0,2018-10-01,Bournemouth,Crystal Palace,H
E0,1819,E0,2018-10-05,Brighton,West Ham,H
E0,1819,E0,2018-10-06,Burnley,Huddersfield,D
E0,1819,E0,2018-10-06,Crystal Palace,Wolves,A
E0,1819,E0,2018-10-06,Leicester,Everton,A
E0,1819,E0,2018-10-06,Man United,Newcastle,H
E0,1819,E0,2018-10-06,Tottenham,Cardiff,H
E0,1819,E0,2018-10-06,Watford,Bournemouth,A
E0,1819,E0,2018-10-07,Fulham,Arsenal,A
E0,1819,E0,2018-10-07,Liverpool,Man City,D
E0,1819,E0,2018-10-07,Southampton,Chelsea,A
E0,1819,E0,2018-10-20,Bournemouth,Southampton,D
E0,1819,E0,2018-10-20,Cardiff,Fulham,H
E0,1819,E0,2018-10-20,Chelsea,Man United,D
E0,1819,E0,2018-10-20,Huddersfield,Liverpool,A
E0,1819,E0,2018-10-20,Man City,Burnley,H
E0,1819,E0,2018-10-20,Newcastle,Brighton,A
E0,1819,E0,2018-10-20,West Ham,Tottenham,A
E0,1819,E0,2018-10-20,Wolves,Watford,A
E0,1819,E0,2018-10-21,Everton,Crystal Palace,H
E0,1819,E0,2018-10-22,Arsenal,Leicester,H
E0,1819,E0,2018-10-27,Brighton,Wolves,H
E0,1819,E0,2018-10-27,Fulham,Bournemouth,A
E0,1819,E0,2018-10-27,Leicester,West Ham,D
E0,1819,E0,2018-10-27,Liverpool,Cardiff,H
E0,1819,E0,2018-10-27,Southampton,Newcastle,D
E0,1819,E0,2018-10-27,Watford,Huddersfield,H
E0,1819,E0,2018-10-28,Burnley,Chelsea,A
E0,1819,E0,2018-10-28,Crystal Palace,Arsenal,D
E0,1819,E0,2018-10-28,Man United,Everton,H
E0,1819,E0,2018-10-29,Tottenham,Man City,A
E0,1819,E0,2018-11-03,Arsenal,Liverpool,D
E0,1819,E0,2018-11-03,Bournemouth,Man United,A
E0,1819,E0,2018-11-03,Cardiff,Leicester,A
E0,1819,E0,2018-11-03,Everton,Brighton,H
E0,1819,E0,2018-11-03,Newcastle,Watford,H
E0,1819,E0,2018-11-03,West Ham,Burnley,H
E0,1819,E0,2018-11-03,Wolves,Tottenham,A
E0,1819,E0,2018-11-04,Chelsea,Crystal Palace,H
E0,1819,E0,2018-11-04,Man City,Southampton,H
E0,1819,E0,2018-11-05,Huddersfield,Fulham,H
E0,1819,E0,2018-11-10,Cardiff,Brighton,H
E0,1819,E0,2018-11-10,Crystal Palace,Tottenham,A
E0,1819,E0,2018-11-10,Huddersfield,West Ham,D
E0,1819,E0,2018-11-10,Leicester,Burnley,D
E0,1819,E0,2018-11-10,Newcastle,Bournemouth,H
E0,1819,E0,2018-11-10,Southampton,Watford,D
E0,1819,E0,2018-11-11,Arsenal,Wolves,D
E0,1819,E0,2018-11-11,Chelsea,Everton,D
E0,1819,E0,2018-11-11,Liverpool,Fulham,H
E0,1819,E0,2018-11-11,Man City,Man United,H
E0,1819,E0,2018-11-24,Brighton,Leicester,D
E0,1819,E0,2018-11-24,Everton,Cardiff,H
E0,1819,E0,2018-11-24,Fulham,Southampton,H
E0,1819,E0,2018-11-24,Man United,Crystal Palace,D
E0,1819,E0,2018-11-24,Tottenham,Chelsea,H
E0,1819,E0,2018-11-24,Watford,Liverpool,A
E0,1819,E0,2018-11-24,West Ham,Man City,A
E0,1819,E0,2018-11-25,Bournemouth,Arsenal,A
E0,1819,E0,2018-11-25,Wolves,Huddersfield,A
E0,1819,E0,2018-11-26,Burnley,Newcastle,A
E0,1819,E0,2018-11-30,Cardiff,Wolves,H
E0,1819,E0,2018-12-01,Crystal Palace,Burnley,H
E0,1819,E0,2018-12-01,Huddersfield,Brighton,A
E0,1819,E0,2018-12-01,Leicester,Watford,H
E0,1819,E0,2018-12-01,Man City,Bournemouth,H
E0,1819,E0,2018-12-01,Newcastle,West Ham,A
E0,1819,E0,2018-12-01,Southampton,Man United,D
E0,1819,E0,2018-12-02,Arsenal,Tottenham,H
E0,1819,E0,2018-12-02,Chelsea,Fulham,H
E0,1819,E0,2018-12-02,Liverpool,Everton,H
E0,1819,E0,2018-12-04,Bournemouth,Huddersfield,H
E0,1819,E0,2018-12-04,Brighton,Crystal Palace,H
E0,1819,E0,2018-12-04,Watford,Man City,A
E0,1819,E0,2018-12-04,West Ham,Cardiff,H
E0,1819,E0,2018-12-05,Burnley,Liverpool,A
E0,1819,E0,2018-12-05,Everton,Newcastle,D
E0,1819,E0,2018-12-05,Fulham,Leicester,D
E0,1819,E0,2018-12-05,Man United,Arsenal,D
E0,1819,E0,2018-12-05,Tottenham,Southampton,H
E0,1819,E0,2018-12-05,Wolves,Chelsea,H
E0,1819,E0,2018-12-08,Arsenal,Huddersfield,H
E0,1819,E0,2018-12-08,Bournemouth,Liverpool,A
E0,1819,E0,2018-12-08,Burnley,Brighton,H
E0,1819,E0,2018-12-08,Cardiff,Southampton,H
E0,1819,E0,2018-12-08,Chelsea,Man City,H
E0,1819,E0,2018-12-08,Leicester,Tottenham,A
E0,1819,E0,2018-12-08,Man United,Fulham,H
E0,1819,E0,2018-12-08,West Ham,Crystal Palace,H
E0,1819,E0,2018-12-09,Newcastle,Wolves,A
E0,1819,E0,2018-12-10,Everton,Watford,D
E0,1819,E0,2018-12-15,Crystal Palace,Leicester,H
E0,1819,E0,2018-12-15,Fulham,West Ham,A
E0,1819,E0,2018-12-15,Huddersfield,Newcastle,A
E0,1819,E0,2018-12-15,Man City,Everton,H
E0,1819,E0,2018-12-15,Tottenham,Burnley,H
E0,1819,E0,2018-12-15,Watford,Cardiff,H
E0,1819,E0,2018-12-15,Wolves,Bournemouth,H
E0,1819,E0,2018-12-16,Brighton,Chelsea,A
E0,1819,E0,2018-12-16,Liverpool,Man United,H
E0,1819,E0,2018-12-16,Southampton,Arsenal,H
E0,1819,E0,2018-12-21,Wolves,Liverpool,A
E0,1819,E0,2018-12-22,Arsenal,Burnley,H
E0,1819,E0,2018-12-22,Bournemouth,Brighton,H
E0,1819,E0,2018-12-22,Cardiff,Man United,A
E0,1819,E0,2018-12-22,Chelsea,Leicester,A
E0,1819,E0,2018-12-22,Huddersfield,Southampton,A
E0,1819,E0,2018-12-22,Man City,Crystal Palace,A
E0,1819,E0,2018-12-22,Newcastle,Fulham,D
E0,1819,E0,2018-12-22,West Ham,Watford,A
E0,1819,E0,2018-12-23,Everton,Tottenham,A
E0,1819,E0,2018-12-26,Brighton,Arsenal,D
E0,1819,E0,2018-12-26,Burnley,Everton,A
E0,1819,E0,2018-12-26,Crystal Palace,Cardiff,D
E0,1819,E0,2018-12-26,Fulham,Wolves,D
E0,1819,E0,2018-12-26,Leicester,Man City,H
E0,1819,E0,2018-12-26,Liverpool,Newcastle,H
E0,1819,E0,2018-12-26,Man United,Huddersfield,H
E0,1819,E0,2018-12-26,Tottenham,Bournemouth,H
E0,1819,E0,2018-12-26,Watford,Chelsea,A
E0,1819,E0,2018-12-27,Southampton,West Ham,A
E0,1819,E0,2018-12-29,Brighton,Everton,H
E0,1819,E0,2018-12-29,Fulham,Huddersfield,H
E0,1819,E0,2018-12-29,Leicester,Cardiff,A
E0,1819,E0,2018-12-29,Liverpool,Arsenal,H
E0,1819,E0,2018-12-29,Tottenham,Wolves,A
E0,1819,E0,2018-12-29,Watford,Newcastle,D
E0,1819,E0,2018-12-30,Burnley,West Ham,H
E0,1819,E0,2018-12-30,Crystal Palace,Chelsea,A
E0,1819,E0,2018-12-30,Man United,Bournemouth,H
E0,1819,E0,2018-12-30,Southampton,Man City,A
E0,1819,E0,2019-01-01,Arsenal,Fulham,H
E0,1819,E0,2019-01-01,Cardiff,Tottenham,A
E0,1819,E0,2019-01-01,Everton,Leicester,A
E0,1819,E0,2019-01-02,Bournemouth,Watford,D
E0,1819,E0,2019-01-02,Chelsea,Southampton,D
E0,1819,E0,2019-01-02,Huddersfield,Burnley,A
E0,1819,E0,2019-01-02,Newcastle,Man United,A
E0,1819,E0,2019-01-02,West Ham,Brighton,D
E0,1819,E0,2019-01-02,Wolves,Crystal Palace,A
E0,1819,E0,2019-01-03,Man City,Liverpool,H
E0,1819,E0,2019-01-12,Brighton,Liverpool,A
E0,1819,E0,2019-01-12,Burnley,Fulham,H
E0,1819,E0,2019-01-12,Cardiff,Huddersfield,D
E0,1819,E0,2019-01-12,Chelsea,Newcastle,H
E0,1819,E0,2019-01-12,Crystal Palace,Watford,A
E0,1819,E0,2019-01-12,Leicester,Southampton,A
E0,1819,E0,2019-01-12,West Ham,Arsenal,H
E0,1819,E0,2019-01-13,Everton,Bournemouth,H
E0,1819,E0,2019-01-13,Tottenham,Man United,A
E0,1819,E0,2019-01-14,Man City,Wolves,H
E0,1819,E0,2019-01-19,Arsenal,Chelsea,H
E0,1819,E0,2019-01-19,Bournemouth,West Ham,H
E0,1819,E0,2019-01-19,Liverpool,Crystal Palace,H
E0,1819,E0,2019-01-19,Man United,Brighton,H
E0,1819,E0,2019-01-19,Newcastle,Cardiff,H
E0,1819,E0,2019-01-19,Southampton,Everton,H
E0,1819,E0,2019-01-19,Watford,Burnley,D
E0,1819,E0,2019-01-19,Wolves,Leicester,H
E0,1819,E0,2019-01-20,Fulham,Tottenham,A
E0,1819,E0,2019-01-20,Huddersfield,Man City,A
E0,1819,E0,2019-01-29,Arsenal,Cardiff,H
E0,1819,E0,2019-01-29,Fulham,Brighton,H
E0,1819,E0,2019-01-29,Huddersfield,Everton,A
E0,1819,E0,2019-01-29,Man United,Burnley,D
E0,1819,E0,2019-01-29,Newcastle,Man City,H
E0,1819,E0,2019-01-29,Wolves,West Ham,H
E0,1819,E0,2019-01-30,Bournemouth,Chelsea,H
E0,1819,E0,2019-01-30,Liverpool,Leicester,D
E0,1819,E0,2019-01-30,Southampton,Crystal Palace,D
E0,1819,E0,2019-01-30,Tottenham,Watford,H
E0,1819,E0,2019-02-02,Brighton,Watford,D
E0,1819,E0,2019-02-02,Burnley,Southampton,D
E0,1819,E0,2019-02-02,Cardiff,Bournemouth,H
E0,1819,E0,2019-02-02,Chelsea,Huddersfield,H
E0,1819,E0,2019-02-02,Crystal Palace,Fulham,H
E0,1819,E0,2019-02-02,Everton,Wolves,A
E0,1819,E0,2019-02-02,Tottenham,Newcastle,H
E0,1819,E0,2019-02-03,Leicester,Man United,A
E0,1819,E0,2019-02-03,Man City,Arsenal,H
E0,1819,E0,2019-02-04,West Ham,Liverpool,D
E0,1819,E0,2019-02-06,Everton,Man City,A
E0,1819,E0,2019-02-09,Brighton,Burnley,A
E0,1819,E0,2019-02-09,Crystal Palace,West Ham,D
E0,1819,E0,2019-02-09,Fulham,Man United,A
E0,1819,E0,2019-02-09,Huddersfield,Arsenal,A
E0,1819,E0,2019-02-09,Liverpool,Bournemouth,H
E0,1819,E0,2019-02-09,Southampton,Cardiff,A
E0,1819,E0,2019-02-09,Watford,Everton,H
E0,1819,E0,2019-02-10,Man City,Chelsea,H
E0,1819,E0,2019-02-10,Tottenham,Leicester,H
E0,1819,E0,2019-02-11,Wolves,Newcastle,D
E0,1819,E0,2019-02-22,Cardiff,Watford,A
E0,1819,E0,2019-02-22,West Ham,Fulham,H
E0,1819,E0,2019-02-23,Bournemouth,Wolves,D
E0,1819,E0,2019-02-23,Burnley,Tottenham,H
E0,1819,E0,2019-02-23,Leicester,Crystal Palace,A
E0,1819,E0,2019-02-23,Newcastle,Huddersfield,H
E0,1819,E0,2019-02-24,Arsenal,Southampton,H
E0,1819,E0,2019-02-24,Man United,Liverpool,D
E0,1819,E0,2019-02-26,Cardiff,Everton,A
E0,1819,E0,2019-02-26,Huddersfield,Wolves,H
E0,1819,E0,2019-02-26,Leicester,Brighton,H
E0,1819,E0,2019-02-26,Newcastle,Burnley,H
E0,1819,E0,2019-02-27,Arsenal,Bournemouth,H
E0,1819,E0,2019-02-27,Chelsea,Tottenham,H
E0,1819,E0,2019-02-27,Crystal Palace,Man United,A
E0,1819,E0,2019-02-27,Liverpool,Watford,H
E0,1819,E0,2019-02-27,Man City,West Ham,H
E0,1819,E0,2019-02-27,Southampton,Fulham,H
E0,1819,E0,2019-03-02,Bournemouth,Man City,A
E0,1819,E0,2019-03-02,Brighton,Huddersfield,H
E0,1819,E0,2019-03-02,Burnley,Crystal Palace,A
E0,1819,E0,2019-03-02,Man United,Southampton,H
E0,1819,E0,2019-03-02,Tottenham,Arsenal,D
E0,1819,E0,2019-03-02,West Ham,Newcastle,H
E0,1819,E0,2019-03-02,Wolves,Cardiff,H
E0,1819,E0,2019-03-03,Everton,Liverpool,D
E0,1819,E0,2019-03-03,Fulham,Chelsea,A
E0,1819,E0,2019-03-03,Watford,Leicester,H
E1,1819,E1,2018-08-03,Reading,Derby,A
